Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:57:59 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:00 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: [Info]: Mouse button pressed
Sun Mar 10 14:58:01 2019: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:02 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:03 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
Sun Mar 10 14:54:04 2019: [Info]: {0}, {1}
